0,7,7,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.126921401,-0.127881782,0.063368945
0,7,7,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.126921401,-0.127881782,0.063368945
0,9,7,2,3,0,0,0,1,1246000,743.7,6544,54.77,-0.152574283,-0.152915172,0.103444895
0,6,7,2,3,0,0,0,1,21600,76.52,6544,54.77,-0.13922217,-0.16612125,0.057262176
1,7,7,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.005330713,-0.226827187,0.002376283
1,7,7,1,3,0,0,0,1,436300,322.8,6544,54.77,-0.001350552,-0.214465696,0.001188142
0,6,6,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.096774472,-0.097309843,0.03979837
0,7,7,2,3,0,0,0,1,21600,76.52,6544,54.77,-0.151323801,-0.176738944,0.075570061
0,6,7,1,3,0,0,0,1,436300,322.8,6544,54.77,-0.026389603,-0.027447543,0.024181455
1,6,7,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.004849043,-0.226339893,0.001745841
1,7,9,2,2,0,0,0,1,1246000,743.7,6544,54.77,-0.002492621,-0.447271519,0.001053367
1,10,8,0,3,0,0,0,1,436300,322.8,168500,187.2,0,-0.016120803,0
0,7,7,2,1,0,0,0,1,1246000,743.7,6544,54.77,-0.208392883,-0.209029819,0.104072322
1,7,10,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.007615366,-0.904625994,0.003394715
1,7,7,2,3,0,0,0,1,168500,187.2,6544,54.77,-0.013080202,-0.242122829,0.006152952
0,7,6,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.108211234,-0.108743328,0.054035621
0,10,6,1,3,0,0,0,1,21600,76.52,6544,54.77,-0.040660097,-0.05502047,0.067231754
0,6,7,2,2,0,0,0,1,436300,322.8,6544,54.77,-0.140914632,-0.142206196,0.057957446
0,7,7,2,3,0,0,0,1,168500,187.2,6544,54.77,-0.129709497,-0.13220754,0.064777121
0,7,7,2,3,0,0,0,1,436300,322.8,21600,76.52,-0.040451577,-0.041485356,0.019839498
1,7,6,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.004569183,-0.125736253,0.002036814
0,7,7,2,1,0,0,0,1,1246000,743.7,6501,41.83,-0.20920147,-0.209838415,0.10476048
1,6,11,2,3,0,0,0,1,1246000,743.7,6544,54.77,-0.002785691,-0.938440616,0.00096066
0,6,7,1,2,0,0,0,1,6544,54.77,21600,76.52,-0.013444795,-0.145018646,0.016506246
0,7,9,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.165680584,-0.168281854,0.082691427
0,6,6,2,2,0,0,0,1,6544,54.77,6544,54.77,-0.14728186,-0.207716438,0.060579695
0,7,7,2,2,0,0,0,1,1246000,743.7,6544,54.77,-0.15666085,-0.15712469,0.078181975
0,7,7,2,3,0,0,0,1,6544,54.77,168500,187.2,-0.009039224,-0.153006917,0.024143006
1,6,6,0,1,0,0,0,1,21600,76.52,6544,54.77,0,-0.125901878,0
0,7,7,1,3,0,0,0,1,436300,322.8,6544,54.77,-0.02969579,-0.030734075,0.032636491
0,7,7,2,2,0,0,0,1,436300,322.8,6544,54.77,-0.157599421,-0.158884466,0.078705719
1,11,6,0,3,0,0,0,1,98610,159.3,6544,54.77,0,-0.125136044,0
0,7,7,2,3,0,0,0,1,6544,54.77,6544,54.77,-0.176622263,-0.284945801,0.088189657
1,7,7,2,3,0,0,0,1,6544,54.77,6544,54.77,-0.312229483,-0.54376427,0.158430983
0,10,6,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.142785236,-0.143312136,0.109845055
0,9,7,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.153693955,-0.154644046,0.104289152
0,9,6,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.131232275,-0.131760435,0.089058984
1,7,7,2,1,0,0,0,1,1246000,743.7,168500,187.2,-0.00193869,-0.011404431,0.000819279
0,8,7,2,3,0,0,0,1,21600,76.52,6544,54.77,-0.16377657,-0.188087062,0.096401071
0,7,7,0,1,0,0,0,1,1246000,743.7,6501,41.83,0,-0.001421342,0
0,7,9,2,3,0,0,0,1,436300,322.8,6501,41.83,-0.166305357,-0.168905898,0.0832294
0,7,6,0,3,0,0,0,1,1246000,743.7,6544,54.77,0,-0.00081147,0
0,6,7,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.113646358,-0.114615291,0.04672887
0,7,11,2,3,0,0,0,1,1246000,743.7,6544,54.77,-0.20019088,-0.202209334,0.099572018
0,7,7,2,3,0,0,0,1,481100,316.8,6544,54.77,-0.126756624,-0.127631594,0.063292782
0,7,11,2,3,0,0,0,1,1246000,743.7,6501,41.83,-0.200953198,-0.202971763,0.100226029
0,8,6,2,3,0,0,0,1,436300,322.8,6544,54.77,-0.119703784,-0.120233604,0.070455832
